,20ms,40ms,60ms,70ms,80ms,90ms,120ms
0,-3.114060519e-06,-2.84608609e-06,-3.431557388e-06,-4.032124252e-06,-2.463171313e-06,-4.206136055e-06,-4.21400955e-06
1,-4.738412372e-06,-5.520537343e-06,-5.894363312e-06,-6.487639439e-06,-3.871100489e-06,-8.792747394e-06,-9.681916708e-06
2,-5.614333531e-06,-7.426146567e-06,-7.434327927e-06,-7.760050721e-06,-4.846966931e-06,-1.2147304915e-05,-1.4194447431e-05
3,-6.268893685e-06,-9.501023669e-06,-8.965625966e-06,-9.399374903e-06,-5.75924787e-06,-1.5660465579e-05,-1.7771155399e-05
4,-6.956941434e-06,-1.1446913049e-05,-1.0409258721e-05,-1.0658211977e-05,-6.228400252e-06,-1.8713562895e-05,-2.1785390345e-05
5,-7.892214853e-06,-1.3331672562e-05,-1.2180838894e-05,-1.1878540136e-05,-7.200822438e-06,-2.1883703084e-05,-2.5298633773e-05
6,-8.770552995e-06,-1.5028678717e-05,-1.3544398826e-05,-1.2818935829e-05,-7.87240424e-06,-2.5129545975e-05,-2.8701366318e-05
7,-9.511843928e-06,-1.6453555872e-05,-1.5154285393e-05,-1.4424977053e-05,-8.531445928e-06,-2.7640988264e-05,-3.2345800719e-05
8,-1.0448492503e-05,-1.8024662495e-05,-1.6268009858e-05,-1.570670247e-05,-9.723268704e-06,-3.0451088605e-05,-3.5531484173e-05
9,-1.11300551e-05,-1.981989044e-05,-1.7710377506e-05,-1.7096101146e-05,-1.0306302102e-05,-3.3567983337e-05,-3.8502937969e-05
10,-1.1940363038e-05,-2.1055113393e-05,-1.9190509192e-05,-1.8211732822e-05,-1.1171579899e-05,-3.6130571971e-05,-4.096286284e-05
11,-1.2858726222e-05,-2.2654952772e-05,-2.0641671654e-05,-1.9605056877e-05,-1.1820065993e-05,-3.8369969843e-05,-4.3524421926e-05
12,-1.3642317754e-05,-2.4590508474e-05,-2.2331298169e-05,-2.0907455109e-05,-1.2258553397e-05,-4.0879589505e-05,-4.5859702368e-05
13,-1.4307320271e-05,-2.6092830012e-05,-2.3574555598e-05,-2.2284080842e-05,-1.2896538465e-05,-4.309844735e-05,-4.816159344e-05
14,-1.5048428395e-05,-2.7445737942e-05,-2.4701614166e-05,-2.335181307e-05,-1.351328865e-05,-4.5393149776e-05,-4.9409551139e-05
15,-1.5635490854e-05,-2.8819915315e-05,-2.6106419682e-05,-2.4715327527e-05,-1.4260924218e-05,-4.6923352784e-05,-5.1350089052e-05
16,-1.6259053154e-05,-3.0382214391e-05,-2.7718055208e-05,-2.5460543839e-05,-1.4743516658e-05,-4.8656267609e-05,-5.2463834436e-05
17,-1.7360791389e-05,-3.2089395972e-05,-2.8709386243e-05,-2.6533783966e-05,-1.5225659808e-05,-4.9764272262e-05,-5.3757285059e-05
18,-1.8409011318e-05,-3.3209787944e-05,-3.021872908e-05,-2.7873646104e-05,-1.6060268536e-05,-5.1773004088e-05,-5.4965174058e-05
19,-1.9018219973e-05,-3.4480606701e-05,-3.108799865e-05,-2.882318222e-05,-1.6895515728e-05,-5.2430452342e-05,-5.6184140703e-05
20,-1.9596738639e-05,-3.5971024772e-05,-3.272572576e-05,-2.9706969144e-05,-1.7384400053e-05,-5.389614671e-05,-5.6840010075e-05
21,-2.0807679903e-05,-3.7101643102e-05,-3.3657113818e-05,-3.1094481528e-05,-1.7757642127e-05,-5.4825988627e-05,-5.7758334151e-05
22,-2.1357875085e-05,-3.8468078856e-05,-3.4870954551e-05,-3.2032578019e-05,-1.8503853425e-05,-5.5532182159e-05,-5.8277477365e-05
23,-2.1736021154e-05,-3.9483220462e-05,-3.5956421925e-05,-3.3029555198e-05,-1.8858201656e-05,-5.6374043197e-05,-5.877341755e-05
24,-2.2492782591e-05,-4.0728551539e-05,-3.7111814891e-05,-3.3768519643e-05,-1.9444609279e-05,-5.7274315623e-05,-5.9129804868e-05
25,-2.3074897399e-05,-4.1692946979e-05,-3.8050460716e-05,-3.4801698348e-05,-1.9983850507e-05,-5.7384648244e-05,-5.9990932641e-05
26,-2.3804503144e-05,-4.2804625991e-05,-3.9181442844e-05,-3.5430097341e-05,-2.0349460101e-05,-5.8364796132e-05,-6.0318689066e-05
27,-2.5052573619e-05,-4.3817555706e-05,-3.9996295527e-05,-3.6461533455e-05,-2.0988127289e-05,-5.8878980781e-05,-6.0555441451e-05
28,-2.5924240617e-05,-4.4390955736e-05,-4.0844439354e-05,-3.7215049815e-05,-2.1373143682e-05,-5.9713733208e-05,-6.1134000134e-05
29,-2.6236026315e-05,-4.5509528718e-05,-4.1691782826e-05,-3.8244073949e-05,-2.1860791094e-05,-6.0221511376e-05,-6.1290433223e-05
30,-2.7332591344e-05,-4.6025401389e-05,-4.2559724534e-05,-3.8838388718e-05,-2.2418180379e-05,-6.077314174e-05,-6.1978498707e-05
31,-2.8483849746e-05,-4.6673660108e-05,-4.320557855e-05,-3.9749102143e-05,-2.2832447939e-05,-6.0942453274e-05,-6.214750465e-05
